Region,Total,Total,Arica y Parinacota,Arica y Parinacota,Tarapacá,Tarapacá,Antofagasta,Antofagasta,Atacama,Atacama,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Metropolitana,Metropolitana,O’Higgins,O’Higgins,Maule,Maule,Ñuble,Ñuble,Biobío,Biobío,Araucanía,Araucanía,Los Ríos,Los Ríos,Los Lagos,Los Lagos,Aysén,Aysén,Magallanes,Magallanes
Dosis,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda
2020-12-24,420,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-25,5199,0,0,0,0,0,0,0,0,0,0,0,0,0,2935,0,0,0,0,0,0,0,1388,0,711,0,0,0,0,0,0,0,165,0
2020-12-26,8339,0,0,0,0,0,0,0,0,0,0,0,0,0,5419,0,0,0,0,0,0,0,2044,0,711,0,0,0,0,0,0,0,165,0
2020-12-27,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2020-12-28,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2020-12-29,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2020-12-30,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2020-12-31,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2021-01-01,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2021-01-02,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2021-01-03,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,2059,0,711,0,0,0,0,0,0,0,165,0
2021-01-04,9055,0,0,0,0,0,0,0,0,0,0,0,0,0,5820,0,0,0,230,0,0,0,2059,0,711,0,70,0,0,0,0,0,165,0
